"","KEY","STATECD","COUNTYCD","PLOT","t0","t1","t2","t3","N_REM","CONDITION","subplot_list"
"34","55_1_20166",55,1,20166,2004,2009,2014,0,3,"M",1432
"35","55_1_20168",55,1,20168,2002,2007,2012,2018,4,"M",2431
"36","55_1_20179",55,1,20179,2000,2005,2010,2016,4,"F",3241
"37","55_1_20184",55,1,20184,2001,2006,2011,2017,4,"F",2341
"38","55_1_20193",55,1,20193,2001,2006,2011,2016,4,"F",3412
"39","55_1_20196",55,1,20196,2000,2005,2010,2016,4,"F",4321
"40","55_1_20204",55,1,20204,2001,2006,2011,2017,4,"F",2413
"41","55_1_20207",55,1,20207,2003,2008,2013,0,3,"F",2143
"42","55_1_20208",55,1,20208,2003,2008,2013,2019,4,"F",1324
"43","55_1_20210",55,1,20210,2003,2008,2013,2019,4,"M",4312
"44","55_1_20215",55,1,20215,2003,2008,2013,0,3,"F",4321
"45","55_1_20227",55,1,20227,2004,2009,2014,0,3,"F",4132
"46","55_1_20229",55,1,20229,2004,2009,2014,0,3,"F",2134
"47","55_1_20232",55,1,20232,2004,2009,2014,0,3,"M",2431
"48","55_1_20234",55,1,20234,2001,2006,2011,2017,4,"F",1342
"49","55_1_20237",55,1,20237,2001,2006,2011,2017,4,"F",1432
"50","55_1_20244",55,1,20244,2003,2008,2013,2019,4,"M",3214
"51","55_1_20246",55,1,20246,2000,2005,2010,2015,4,"F",2413
"52","55_1_20248",55,1,20248,2004,2009,2014,0,3,"F",3421
"53","55_1_20249",55,1,20249,2001,2006,2011,2016,4,"F",2341
"54","55_1_20250",55,1,20250,2000,2005,2010,2016,4,"M",3142
"55","55_1_20251",55,1,20251,2001,2006,2011,2017,4,"M",3421
"56","55_1_20252",55,1,20252,2004,2009,2015,0,3,"F",3421
"57","55_1_20253",55,1,20253,2002,2007,2012,2019,4,"F",3124
"58","55_1_20255",55,1,20255,2002,2007,2012,2019,4,"F",2413
"59","55_1_20257",55,1,20257,2002,2007,2012,2019,4,"M",4321
"60","55_1_20259",55,1,20259,2000,2005,2010,2015,4,"F",1423
"61","55_1_20262",55,1,20262,2000,2005,2010,2015,4,"F",3421
"62","55_1_20264",55,1,20264,2000,2005,2010,2015,4,"F",3412
"63","55_1_20265",55,1,20265,2000,2005,2010,2016,4,"F",1423
"64","55_1_20266",55,1,20266,2000,2005,2010,2016,4,"F",4132
"65","55_1_20267",55,1,20267,2000,2005,2010,2016,4,"F",1423
"66","55_1_20268",55,1,20268,2001,2006,2011,2017,4,"F",3142
"67","55_1_20270",55,1,20270,2001,2006,2011,2016,4,"M",2413
"68","55_1_20271",55,1,20271,2001,2006,2011,2016,4,"F",4213
"69","55_1_20272",55,1,20272,2001,2006,2011,2017,4,"F",2413
"70","55_1_20273",55,1,20273,2001,2006,2011,2017,4,"F",2413
"71","55_1_20276",55,1,20276,2001,2006,2011,2018,4,"M",4231
"72","55_1_20277",55,1,20277,2001,2006,2011,2017,4,"F",4123
"73","55_1_20291",55,1,20291,2002,2007,2012,2018,4,"M",1423
"74","55_1_20292",55,1,20292,2002,2007,2012,2018,4,"F",2413
"75","55_1_20293",55,1,20293,2002,2007,2012,2018,4,"M",2314
"76","55_1_20295",55,1,20295,2002,2007,2012,2018,4,"F",4312
"77","55_1_20299",55,1,20299,2002,2007,2012,2019,4,"F",1234
"78","55_1_20300",55,1,20300,2002,2007,2012,2019,4,"F",1243
"79","55_1_20303",55,1,20303,2003,2008,2013,0,3,"F",2134
"80","55_1_20305",55,1,20305,2003,2008,2013,2019,4,"F",3214
"81","55_1_20307",55,1,20307,2003,2008,2013,0,3,"F",4123
"82","55_1_20311",55,1,20311,2003,2008,2013,0,3,"F",4132
"83","55_1_20312",55,1,20312,2003,2008,2013,0,3,"F",3421
"84","55_1_20315",55,1,20315,2003,2008,2013,0,3,"M",1342
"85","55_1_20327",55,1,20327,2004,2009,2014,0,3,"M",1342
"86","55_1_20333",55,1,20333,2004,2009,2014,0,3,"M",2314
"87","55_1_20336",55,1,20336,2004,2009,2015,0,3,"F",2134
"88","55_1_20337",55,1,20337,2004,2009,2014,0,3,"F",1243
"89","55_101_20006",55,101,20006,2002,2007,2012,2018,4,"M",3142
"90","55_101_20073",55,101,20073,2000,2005,2010,2016,4,"F",4213
"91","55_101_20087",55,101,20087,2000,2005,2010,2016,4,"M",1234
"92","55_101_20270",55,101,20270,2001,2006,2011,2017,4,"F",3241
"93","55_101_20285",55,101,20285,2003,2008,2013,0,3,"F",2431
"94","55_103_20001",55,103,20001,2001,2006,2011,2017,4,"M",4312
"95","55_103_20006",55,103,20006,2004,2009,2014,0,3,"F",1342
"96","55_103_20007",55,103,20007,2003,2008,2013,0,3,"F",4321
"97","55_103_20011",55,103,20011,2002,2007,2012,2019,4,"M",4321
"98","55_103_20013",55,103,20013,2002,2007,2012,2019,4,"F",4132
"99","55_103_20014",55,103,20014,2001,2006,2011,2017,4,"M",2134
"100","55_103_20017",55,103,20017,2004,2009,2015,0,3,"M",1243
"101","55_103_20020",55,103,20020,2000,2005,2010,2015,4,"M",4132
"102","55_103_20035",55,103,20035,2001,2006,2011,2017,4,"F",2314
"103","55_103_20049",55,103,20049,2001,2006,2011,2017,4,"F",1342
"104","55_103_20075",55,103,20075,2001,2006,2011,2017,4,"F",3214
"105","55_103_20077",55,103,20077,2001,2006,2011,2017,4,"F",3241
"106","55_103_20078",55,103,20078,2003,2008,2013,2019,4,"M",2431
"107","55_103_20085",55,103,20085,2000,2005,2010,2016,4,"F",4312
"108","55_103_20086",55,103,20086,2003,2008,2013,2019,4,"M",3214
"109","55_103_20090",55,103,20090,2002,2007,2012,2019,4,"F",2431
"110","55_103_20096",55,103,20096,2001,2006,2011,2017,4,"F",3412
"111","55_103_20105",55,103,20105,2000,2005,2010,2016,4,"F",2413
"112","55_103_20108",55,103,20108,2002,2007,2012,2018,4,"F",2314
"113","55_103_20110",55,103,20110,2004,2009,2015,0,3,"M",4132
"114","55_103_20112",55,103,20112,2002,2007,2012,2018,4,"M",2314
"115","55_103_20127",55,103,20127,2004,2009,2015,0,3,"M",2341
"116","55_103_20128",55,103,20128,2003,2008,2013,0,3,"M",3142
"117","55_103_20136",55,103,20136,2004,2009,2014,0,3,"F",4321
"118","55_103_20143",55,103,20143,2001,2006,2011,2018,4,"F",4123
"119","55_103_20145",55,103,20145,2000,2005,2010,2016,4,"F",1342
"120","55_103_20149",55,103,20149,2002,2007,2012,2018,4,"F",2314
"121","55_103_20150",55,103,20150,2002,2007,2012,2019,4,"F",2341
"122","55_103_20152",55,103,20152,2000,2005,2010,2016,4,"F",2314
"123","55_103_20156",55,103,20156,2003,2008,2013,0,3,"F",1324
"124","55_103_20159",55,103,20159,2000,2005,2010,2015,4,"M",4132
"125","55_103_20160",55,103,20160,2002,2007,2012,2018,4,"F",1432
"126","55_103_20167",55,103,20167,2004,2009,2014,0,3,"M",4213
"127","55_103_20168",55,103,20168,2004,2009,2014,0,3,"F",4321
"128","55_103_20177",55,103,20177,2000,2005,2010,2016,4,"M",4213
"129","55_103_20178",55,103,20178,2003,2008,2013,0,3,"F",1234
"130","55_103_20187",55,103,20187,2002,2007,2012,2019,4,"F",4231
"131","55_103_20192",55,103,20192,2004,2009,2014,0,3,"F",4213
"132","55_103_20209",55,103,20209,2002,2007,2012,2018,4,"M",3142
"133","55_103_20213",55,103,20213,2001,2006,2011,2016,4,"M",4312
"134","55_103_20219",55,103,20219,2004,2009,2014,0,3,"F",1243
"135","55_103_20221",55,103,20221,2000,2005,2010,2016,4,"M",1432
"136","55_103_20222",55,103,20222,2004,2009,2014,0,3,"F",3214
"137","55_103_20223",55,103,20223,2000,2005,2010,2015,4,"F",1342
"138","55_103_20224",55,103,20224,2004,2009,2014,0,3,"F",4321
"139","55_103_20225",55,103,20225,2003,2008,2013,0,3,"F",1423
"140","55_103_20226",55,103,20226,2004,2009,2015,0,3,"F",1234
"141","55_103_20231",55,103,20231,2000,2005,2010,2015,4,"M",1432
"142","55_103_20235",55,103,20235,2000,2005,2010,2015,4,"F",2431
"143","55_103_20236",55,103,20236,2000,2005,2010,2016,4,"M",3124
"144","55_103_20238",55,103,20238,2001,2006,2011,2016,4,"M",3241
"145","55_103_20241",55,103,20241,2001,2006,2011,2017,4,"M",4321
"146","55_103_20251",55,103,20251,2002,2007,2012,2018,4,"M",2314
"147","55_103_20254",55,103,20254,2002,2007,2012,2019,4,"M",1342
"148","55_103_20256",55,103,20256,2002,2007,2012,2018,4,"F",1243
"149","55_103_20262",55,103,20262,2003,2008,2013,0,3,"F",2413
"150","55_103_20263",55,103,20263,2003,2008,2013,0,3,"F",4312
"151","55_103_20265",55,103,20265,2003,2008,2013,2019,4,"F",4123
"152","55_103_20268",55,103,20268,2003,2008,2013,0,3,"F",2431
"153","55_103_20285",55,103,20285,2004,2009,2014,0,3,"M",2314
"154","55_105_10375",55,105,10375,2004,2009,2014,0,3,"M",4312
"155","55_105_20003",55,105,20003,2000,2005,2010,2016,4,"M",3124
"156","55_105_20006",55,105,20006,2001,2006,2011,2017,4,"F",4132
"157","55_105_20023",55,105,20023,2003,2008,2013,0,3,"M",3214
"158","55_105_20025",55,105,20025,2004,2009,2015,0,3,"F",1342
"159","55_105_20058",55,105,20058,2002,2007,2012,2019,4,"F",2314
"160","55_105_20083",55,105,20083,2002,2007,2012,2018,4,"M",3421
"161","55_105_20088",55,105,20088,2002,2007,2012,2019,4,"M",4123
"162","55_105_20101",55,105,20101,2000,2005,2010,2016,4,"F",2134
"163","55_105_20106",55,105,20106,2001,2006,2011,2017,4,"F",3241
"164","55_105_20144",55,105,20144,2004,2009,2014,0,3,"F",3124
"165","55_105_20185",55,105,20185,2001,2006,2011,2017,4,"M",4132
"166","55_105_20194",55,105,20194,2003,2008,2013,0,3,"M",4312
"167","55_105_20198",55,105,20198,2000,2005,2010,2016,4,"M",1432
"168","55_105_20221",55,105,20221,2001,2006,2011,2017,4,"M",1324
"169","55_105_20229",55,105,20229,2003,2008,2013,0,3,"M",3142
"170","55_105_20236",55,105,20236,2004,2009,2014,0,3,"M",1432
"171","55_105_20266",55,105,20266,2004,2009,2014,0,3,"F",4321
"172","55_105_20268",55,105,20268,2001,2006,2011,2017,4,"M",3142
"173","55_105_20272",55,105,20272,2003,2008,2013,0,3,"M",3124
"174","55_105_20281",55,105,20281,2000,2005,2010,2016,4,"F",2341
"175","55_105_20285",55,105,20285,2000,2005,2010,2015,4,"F",1423
"176","55_105_20296",55,105,20296,2001,2006,2011,2017,4,"F",2134
"177","55_105_20299",55,105,20299,2001,2006,2011,2018,4,"F",4213
"178","55_105_20312",55,105,20312,2001,2006,2011,2016,4,"M",1423
"179","55_105_20321",55,105,20321,2002,2007,2012,2018,4,"F",3412
"180","55_105_20328",55,105,20328,2003,2008,2013,0,3,"M",2413
"181","55_105_20329",55,105,20329,2003,2008,2013,0,3,"M",4123
"182","55_105_20331",55,105,20331,2003,2008,2013,0,3,"M",4132
"183","55_105_20349",55,105,20349,2004,2009,2014,0,3,"M",3241
"184","55_105_20355",55,105,20355,2004,2009,2015,0,3,"F",1324
"185","55_107_10485",55,107,10485,2004,2009,2015,0,3,"F",4312
"186","55_107_20001",55,107,20001,2002,2007,2012,2018,4,"F",2341
"187","55_107_20012",55,107,20012,2002,2007,2012,2019,4,"M",4231
"188","55_107_20020",55,107,20020,2002,2007,2012,2019,4,"F",3214
"189","55_107_20038",55,107,20038,2000,2005,2010,2015,4,"F",3142
"190","55_107_20039",55,107,20039,2001,2006,2011,2018,4,"F",1432
"191","55_107_20042",55,107,20042,2001,2006,2011,2017,4,"M",4132
"192","55_107_20043",55,107,20043,2001,2006,2011,2017,4,"F",2134
"193","55_107_20052",55,107,20052,2000,2005,2010,2015,4,"F",3412
"194","55_107_20055",55,107,20055,2000,2005,2010,2016,4,"F",1234
"195","55_107_20060",55,107,20060,2001,2006,2011,2017,4,"M",3412
"196","55_107_20062",55,107,20062,2004,2009,2015,0,3,"F",2314
"197","55_107_20068",55,107,20068,2000,2005,2010,2015,4,"F",2413
"198","55_107_20073",55,107,20073,2004,2009,2014,0,3,"F",4213
"199","55_107_20074",55,107,20074,2003,2008,2013,0,3,"F",3214
"200","55_107_20078",55,107,20078,2001,2006,2011,2017,4,"F",4321
"201","55_107_20081",55,107,20081,2002,2007,2012,2018,4,"F",3124
"202","55_107_20083",55,107,20083,2002,2007,2012,2019,4,"M",2314
"203","55_107_20089",55,107,20089,2003,2008,2013,0,3,"M",1324
"204","55_107_20090",55,107,20090,2003,2008,2013,2019,4,"F",2413
"205","55_107_20091",55,107,20091,2001,2006,2011,2017,4,"M",4123
"206","55_107_20098",55,107,20098,2003,2008,2013,0,3,"M",4312
"207","55_107_20101",55,107,20101,2004,2009,2014,0,3,"F",1423
"208","55_107_20103",55,107,20103,2001,2006,2011,2017,4,"M",1432
"209","55_107_20107",55,107,20107,2001,2006,2011,2017,4,"F",4213
"210","55_107_20116",55,107,20116,2003,2008,2013,2019,4,"F",3214
"211","55_107_20126",55,107,20126,2004,2009,2015,0,3,"F",3214
"212","55_107_20133",55,107,20133,2001,2006,2011,2016,4,"F",1243
"213","55_107_20135",55,107,20135,2003,2008,2013,0,3,"F",1342
"214","55_107_20136",55,107,20136,2002,2007,2012,2018,4,"M",2413
"215","55_107_20138",55,107,20138,2002,2007,2012,2018,4,"F",1234
"216","55_107_20139",55,107,20139,2003,2008,2013,2019,4,"M",4321
"217","55_107_20149",55,107,20149,2004,2009,2014,0,3,"M",3421
"218","55_107_20155",55,107,20155,2002,2007,2012,2018,4,"F",1243
"219","55_107_20164",55,107,20164,2001,2006,2011,2017,4,"F",3421
"220","55_107_20166",55,107,20166,2004,2009,2014,0,3,"F",4231
"221","55_107_20168",55,107,20168,2003,2008,2013,0,3,"M",1342
"222","55_107_20172",55,107,20172,2000,2005,2010,2016,4,"F",2143
"223","55_107_20180",55,107,20180,2004,2009,2014,0,3,"F",1243
"224","55_107_20184",55,107,20184,2003,2008,2013,0,3,"F",2143
"225","55_107_20188",55,107,20188,2004,2009,2014,0,3,"F",1432
"226","55_107_20192",55,107,20192,2002,2007,2012,2018,4,"F",1243
"227","55_107_20195",55,107,20195,2000,2005,2010,2015,4,"M",4132
"228","55_107_20203",55,107,20203,2004,2009,2014,0,3,"F",1423
"229","55_107_20210",55,107,20210,2000,2005,2010,2015,4,"F",1324
"230","55_107_20214",55,107,20214,2002,2007,2012,2018,4,"F",3142
"231","55_107_20217",55,107,20217,2000,2005,2010,2015,4,"M",4312
"232","55_107_20224",55,107,20224,2001,2006,2011,2016,4,"F",1243
"233","55_107_20225",55,107,20225,2003,2008,2013,2019,4,"F",1432
"234","55_107_20226",55,107,20226,2001,2006,2011,2017,4,"F",4213
"235","55_107_20227",55,107,20227,2003,2008,2013,2019,4,"F",3124
"236","55_107_20230",55,107,20230,2003,2008,2013,0,3,"F",2134
"237","55_107_20231",55,107,20231,2003,2008,2013,0,3,"F",4312
"238","55_107_20233",55,107,20233,2004,2009,2015,0,3,"F",4123
"239","55_107_20235",55,107,20235,2004,2009,2014,0,3,"M",1432
"240","55_107_20247",55,107,20247,2000,2005,2010,2015,4,"M",3142
"241","55_107_20248",55,107,20248,2004,2009,2014,0,3,"F",4213
"242","55_107_20251",55,107,20251,2004,2009,2014,0,3,"F",1342
"243","55_107_20254",55,107,20254,2002,2007,2012,2019,4,"F",1432
"244","55_107_20265",55,107,20265,2003,2008,2013,0,3,"F",3241
"245","55_107_20268",55,107,20268,2002,2007,2012,2018,4,"F",1234
"246","55_107_20275",55,107,20275,2001,2006,2011,2018,4,"M",4132
"247","55_107_20281",55,107,20281,2000,2005,2010,2015,4,"F",1423
"248","55_107_20284",55,107,20284,2003,2008,2013,0,3,"F",1234
"249","55_107_20287",55,107,20287,2001,2006,2011,2017,4,"F",2314
"250","55_107_20288",55,107,20288,2004,2009,2014,0,3,"F",2431
"251","55_107_20291",55,107,20291,2001,2006,2011,2017,4,"F",2314
"252","55_107_20293",55,107,20293,2001,2006,2011,2018,4,"F",1324
"253","55_107_20302",55,107,20302,2000,2005,2010,2015,4,"F",4213
"254","55_107_20313",55,107,20313,2002,2007,2012,2018,4,"F",3241
"255","55_107_20323",55,107,20323,2003,2008,2013,0,3,"F",3241
"256","55_107_20324",55,107,20324,2004,2009,2014,0,3,"M",1324
"257","55_107_20327",55,107,20327,2000,2005,2010,2015,4,"F",4231
"258","55_107_20342",55,107,20342,2002,2007,2012,2019,4,"F",1243
"259","55_107_20343",55,107,20343,2002,2007,2012,2018,4,"F",4312
"260","55_107_20345",55,107,20345,2003,2008,2013,0,3,"F",4231
"261","55_107_20352",55,107,20352,2003,2008,2013,0,3,"F",1234
"262","55_107_20355",55,107,20355,2003,2008,2013,2019,4,"F",3241
"263","55_107_20357",55,107,20357,2001,2006,2011,2017,4,"F",1342
"264","55_107_20358",55,107,20358,2000,2005,2010,2016,4,"F",4312
"265","55_107_20359",55,107,20359,2001,2006,2011,2017,4,"F",2143
"266","55_107_20360",55,107,20360,2000,2005,2010,2015,4,"F",3124
"267","55_107_20361",55,107,20361,2002,2007,2012,2018,4,"F",4321
"268","55_107_20362",55,107,20362,2000,2005,2010,2016,4,"F",1243
"269","55_107_20363",55,107,20363,2004,2009,2014,0,3,"F",3241
"270","55_107_20366",55,107,20366,2003,2008,2013,0,3,"M",4213
"271","55_107_20367",55,107,20367,2003,2008,2013,0,3,"F",1432
"272","55_107_20369",55,107,20369,2000,2005,2010,2016,4,"F",1423
"273","55_107_20370",55,107,20370,2000,2005,2010,0,3,"F",4231
"274","55_107_20371",55,107,20371,2000,2005,2010,2015,4,"F",1234
"275","55_107_20373",55,107,20373,2000,2005,2010,2016,4,"F",4213
"276","55_107_20375",55,107,20375,2000,2005,2010,2015,4,"F",1243
"277","55_107_20376",55,107,20376,2000,2005,2010,2016,4,"M",4231
"278","55_107_20377",55,107,20377,2000,2005,2010,2016,4,"M",4231
"279","55_107_20380",55,107,20380,2000,2005,2010,2016,4,"F",2413
"280","55_107_20382",55,107,20382,2000,2005,2010,2016,4,"F",2431
"281","55_107_20383",55,107,20383,2000,2005,2010,2015,4,"F",3124
"282","55_107_20384",55,107,20384,2000,2005,2010,2015,4,"F",2314
"283","55_107_20385",55,107,20385,2001,2006,2011,2016,4,"F",2341
"284","55_107_20386",55,107,20386,2001,2006,2011,2017,4,"F",4312
"285","55_107_20387",55,107,20387,2001,2006,2011,2017,4,"F",4231
"286","55_107_20388",55,107,20388,2001,2006,2011,2016,4,"F",2143
"287","55_107_20389",55,107,20389,2001,2006,2011,2017,4,"F",3421
"288","55_107_20391",55,107,20391,2001,2006,2011,2018,4,"F",1423
"289","55_107_20392",55,107,20392,2001,2006,2011,2017,4,"F",1243
"290","55_107_20393",55,107,20393,2001,2006,2011,2017,4,"F",2413
"291","55_107_20394",55,107,20394,2001,2006,2011,2017,4,"F",4132
"292","55_107_20395",55,107,20395,2001,2006,2011,2017,4,"F",4231
"293","55_107_20396",55,107,20396,2001,2006,2011,2017,4,"M",2314
"294","55_107_20397",55,107,20397,2001,2006,2011,2017,4,"M",1234
"295","55_107_20398",55,107,20398,2001,2006,2011,2017,4,"M",4132
"296","55_107_20416",55,107,20416,2002,2007,2012,2018,4,"M",1243
"297","55_107_20417",55,107,20417,2002,2007,2012,2019,4,"F",2431
"298","55_107_20420",55,107,20420,2002,2007,2012,2018,4,"F",4321
"299","55_107_20421",55,107,20421,2002,2007,2012,2018,4,"F",3124
"300","55_107_20422",55,107,20422,2002,2007,2012,2018,4,"F",2341
"301","55_107_20424",55,107,20424,2002,2007,2012,2018,4,"M",2314
"302","55_107_20425",55,107,20425,2002,2007,2012,2018,4,"F",2134
"303","55_107_20428",55,107,20428,2003,2008,2013,2019,4,"F",2143
"304","55_107_20429",55,107,20429,2003,2008,2013,0,3,"F",4231
"305","55_107_20430",55,107,20430,2003,2008,2013,0,3,"F",3142
"306","55_107_20432",55,107,20432,2003,2008,2013,0,3,"M",4123
"307","55_107_20433",55,107,20433,2003,2008,2013,0,3,"F",1342
"308","55_107_20434",55,107,20434,2003,2008,2013,0,3,"F",1342
"309","55_107_20435",55,107,20435,2003,2008,2013,0,3,"F",4132
"310","55_107_20436",55,107,20436,2003,2008,2013,0,3,"F",2413
"311","55_107_20437",55,107,20437,2003,2008,2013,0,3,"F",1342
"312","55_107_20439",55,107,20439,2003,2008,2013,0,3,"F",4123
"313","55_107_20440",55,107,20440,2003,2008,2013,0,3,"F",4213
"314","55_107_20457",55,107,20457,2004,2009,2014,0,3,"F",3124
"315","55_107_20458",55,107,20458,2004,2009,2015,0,3,"F",1432
"316","55_107_20459",55,107,20459,2004,2009,2015,0,3,"F",4231
"317","55_107_20461",55,107,20461,2004,2009,2014,0,3,"F",1243
"318","55_107_20462",55,107,20462,2004,2009,2014,0,3,"F",3421
"319","55_107_20463",55,107,20463,2004,2009,2014,0,3,"M",1423
"320","55_107_20465",55,107,20465,2004,2009,2015,0,3,"F",1324
"321","55_107_20466",55,107,20466,2004,2009,2014,0,3,"F",2341
"322","55_107_20467",55,107,20467,2004,2009,2014,0,3,"F",4213
"323","55_107_20468",55,107,20468,2004,2009,2014,0,3,"F",4321
"324","55_107_20469",55,107,20469,2004,2009,2014,0,3,"F",1234
"325","55_109_20009",55,109,20009,2003,2008,2013,2019,4,"M",2143
"326","55_109_20037",55,109,20037,2002,2007,2012,2018,4,"F",1423
"327","55_109_20044",55,109,20044,2004,2009,2014,0,3,"M",3124
"328","55_109_20065",55,109,20065,2001,2006,2011,2017,4,"M",1243
"329","55_109_20071",55,109,20071,2002,2007,2012,2018,4,"M",4312
"330","55_109_20081",55,109,20081,2002,2007,2012,2019,4,"M",1342
"331","55_109_20088",55,109,20088,2001,2006,2011,2016,4,"M",3142
"332","55_109_20092",55,109,20092,2004,2009,2014,0,3,"M",2431
"333","55_109_20096",55,109,20096,2003,2008,2013,2019,4,"F",3412
"334","55_109_20107",55,109,20107,2001,2006,2011,2016,4,"F",4231
"335","55_109_20111",55,109,20111,2002,2007,2012,2019,4,"M",4321
"336","55_109_20120",55,109,20120,2003,2008,2013,0,3,"F",1423
"337","55_109_20128",55,109,20128,2001,2006,2011,2018,4,"M",1243
"338","55_109_20130",55,109,20130,2002,2007,2012,2018,4,"M",2341
"339","55_109_20135",55,109,20135,2004,2009,2014,0,3,"M",3214
"340","55_109_20141",55,109,20141,2002,2007,2012,2019,4,"F",2341
"341","55_109_20157",55,109,20157,2002,2007,2012,2018,4,"F",3421
"342","55_109_20159",55,109,20159,2004,2009,2014,0,3,"M",2413
"343","55_109_20163",55,109,20163,2004,2009,2014,0,3,"F",3412
"344","55_109_20174",55,109,20174,2001,2006,2011,2017,4,"M",1432
"345","55_109_20190",55,109,20190,2003,2008,2013,2019,4,"F",1342
"346","55_109_20214",55,109,20214,2000,2005,2010,2015,4,"M",4123
"347","55_109_20216",55,109,20216,2004,2009,2014,0,3,"F",4321
"348","55_109_20220",55,109,20220,2000,2005,2010,2015,4,"M",1243
"349","55_109_20223",55,109,20223,2000,2005,2010,2015,4,"M",2413
"350","55_109_20245",55,109,20245,2000,2005,2010,2016,4,"M",2314
"351","55_109_20258",55,109,20258,2003,2008,2013,0,3,"M",4213
"352","55_109_20274",55,109,20274,2003,2008,2013,2019,4,"F",1324
"353","55_109_20276",55,109,20276,2004,2009,2014,0,3,"F",2143
"354","55_109_20277",55,109,20277,2002,2007,2012,2019,4,"M",1324
"355","55_109_20280",55,109,20280,2000,2005,2010,2016,4,"F",3412
"356","55_109_20284",55,109,20284,2000,2005,2010,2016,4,"M",1423
"357","55_109_20289",55,109,20289,2000,2005,2010,2016,4,"M",2134
"358","55_109_20290",55,109,20290,2001,2006,2011,2017,4,"M",4123
"359","55_109_20292",55,109,20292,2001,2006,2011,2016,4,"M",1342
"360","55_109_20293",55,109,20293,2001,2006,2011,2017,4,"F",3421
"361","55_109_20299",55,109,20299,2001,2006,2011,2017,4,"F",2134
"362","55_109_20300",55,109,20300,2001,2006,2011,2017,4,"M",3421
"363","55_109_20314",55,109,20314,2002,2007,2012,2018,4,"M",1324
"364","55_109_20316",55,109,20316,2002,2007,2012,2019,4,"F",3241
"365","55_109_20319",55,109,20319,2002,2007,2012,2019,4,"M",4312
"366","55_109_20320",55,109,20320,2002,2007,2012,2018,4,"F",1243
"367","55_109_20323",55,109,20323,2003,2008,2013,0,3,"M",1342
"368","55_109_20327",55,109,20327,2003,2008,2013,0,3,"M",3241
"369","55_109_20351",55,109,20351,2004,2009,2014,0,3,"M",3421
"370","55_109_20353",55,109,20353,2004,2009,2014,0,3,"F",3124
"371","55_109_20355",55,109,20355,2004,2009,2014,0,3,"F",1234
"372","55_11_20011",55,11,20011,2002,2007,2012,2019,4,"F",3421
"373","55_11_20013",55,11,20013,2001,2006,2011,2017,4,"M",4231
"374","55_11_20019",55,11,20019,2004,2009,2014,0,3,"F",3214
"375","55_11_20022",55,11,20022,2003,2008,2013,0,3,"F",4123
"376","55_11_20024",55,11,20024,2002,2007,2012,2019,4,"F",4213
"377","55_11_20039",55,11,20039,2003,2008,2013,0,3,"F",4132
"378","55_11_20044",55,11,20044,2001,2006,2011,2017,4,"F",1432
"379","55_11_20047",55,11,20047,2000,2005,2010,2016,4,"F",3124
