LandisData	EcoregionDiameterTable


>>Ecoregion	Species	Age	Diameter
212J larilari 101 29.275
212J larilari 102 29.59
212J larilari 103 29.904
212J larilari 104 30.219
212J larilari 105 30.533
212J larilari 106 30.848
212J larilari 107 31.162
212J larilari 108 31.477
212J larilari 109 31.791
212J larilari 110 32.106
212J larilari 111 32.42
212J larilari 112 32.735
212J larilari 113 33.049
212J larilari 114 33.215
212J larilari 115 33.38
212J larilari 116 33.546
212J larilari 117 33.712
212J larilari 118 33.877
212J larilari 119 34.043
212J larilari 120 34.209
212J larilari 121 34.374
212J larilari 122 34.54
212J larilari 123 34.706
212J larilari 124 34.871
212J larilari 125 35.037
212J larilari 126 35.203
212J larilari 127 35.368
212J larilari 128 35.534
212J larilari 129 35.7
212J larilari 130 35.865
212J larilari 131 36.031
212J larilari 132 36.197
212J larilari 133 36.362
212J larilari 134 36.528
212J larilari 135 36.693
212J larilari 136 36.859
212J larilari 137 37.025
212J larilari 138 37.19
212J larilari 139 37.356
212J larilari 140 37.522
212J larilari 141 37.687
212J larilari 142 37.853
212J larilari 143 38.019
212J larilari 144 38.184
212J larilari 145 38.606
212J larilari 146 39.028
212J larilari 147 39.45
212J larilari 148 39.872
212J larilari 149 40.294
212J larilari 150 40.716
212J larilari 151 41.137
212J larilari 152 41.559
212J larilari 153 41.981
212J larilari 154 42.403
212J larilari 155 42.825
212J larilari 156 43.247
212J larilari 157 43.972
212J larilari 158 44.698
212J larilari 159 45.424
212J larilari 160 46.15
212J larilari 161 46.875
212J larilari 162 47.601
212J larilari 163 48.327
212J larilari 164 49.052
212J larilari 165 49.778
212J larilari 166 50.504
212J piceglau 1 2.54
212J piceglau 1 2.836
212J piceglau 2 3.133
212J piceglau 3 3.429
212J piceglau 4 3.725
212J piceglau 5 4.022
212J piceglau 6 4.318
212J piceglau 7 4.614
212J piceglau 8 4.911
212J piceglau 9 5.207
212J piceglau 10 7.442
212J piceglau 11 9.677
212J piceglau 12 10.439
212J piceglau 13 11.455
212J piceglau 14 12.471
212J piceglau 15 13.487
212J piceglau 16 14.079
212J piceglau 17 14.67
212J piceglau 18 15.261
212J piceglau 19 15.853
212J piceglau 20 16.444
212J piceglau 21 17.035
212J piceglau 22 17.627
212J piceglau 23 18.218
212J piceglau 24 18.809
212J piceglau 25 19.401
212J piceglau 26 19.992
212J piceglau 27 20.583
212J piceglau 28 21.175
212J piceglau 29 21.766
212J piceglau 30 22.357
212J piceglau 31 22.949
212J piceglau 32 23.54
212J piceglau 33 24.131
212J piceglau 34 24.723
212J piceglau 35 25.314
212J piceglau 36 25.905
212J piceglau 37 26.497
212J piceglau 38 27.088
212J piceglau 39 27.679
212J piceglau 40 28.271
212J piceglau 41 28.505
212J piceglau 42 28.74
212J piceglau 43 28.975
212J piceglau 44 29.21
212J piceglau 45 29.445
212J piceglau 46 29.68
212J piceglau 47 29.915
212J piceglau 48 30.15
212J piceglau 49 30.385
212J piceglau 50 30.619
212J piceglau 51 30.854
212J piceglau 52 31.089
212J piceglau 53 31.324
212J piceglau 54 31.559
212J piceglau 55 31.794
212J piceglau 56 32.029
212J piceglau 57 32.264
212J piceglau 58 32.499
212J piceglau 59 32.733
212J piceglau 60 32.968
212J piceglau 61 33.203
212J piceglau 62 33.401
212J piceglau 63 33.599
212J piceglau 64 33.797
212J piceglau 65 33.995
212J piceglau 66 34.193
212J piceglau 67 34.391
212J piceglau 68 34.589
212J piceglau 69 34.787
212J piceglau 70 34.985
212J piceglau 71 35.183
212J piceglau 72 35.381
212J piceglau 73 35.579
212J piceglau 74 35.777
212J piceglau 75 35.975
212J piceglau 76 36.173
212J piceglau 77 36.371
212J piceglau 78 36.569
212J piceglau 79 36.767
212J piceglau 80 36.965
212J piceglau 81 37.163
212J piceglau 82 37.361
212J piceglau 83 37.559
212J piceglau 84 37.757
212J piceglau 85 37.955
212J piceglau 86 38.153
212J piceglau 87 38.426
212J piceglau 88 38.7
212J piceglau 89 38.974
212J piceglau 90 39.248
212J piceglau 91 39.522
212J piceglau 92 39.796
212J piceglau 93 40.069
212J piceglau 94 40.343
212J piceglau 95 40.617
212J piceglau 96 40.891
212J piceglau 97 41.165
212J piceglau 98 41.438
212J piceglau 99 41.712
212J piceglau 100 41.986
212J piceglau 101 42.26
212J piceglau 102 42.534
212J piceglau 103 42.808
212J piceglau 104 43.081
212J piceglau 105 43.355
212J piceglau 106 43.838
212J piceglau 107 44.322
212J piceglau 108 44.805
212J piceglau 109 45.288
212J piceglau 110 45.772
212J piceglau 111 46.255
212J piceglau 112 46.738
212J piceglau 113 47.221
212J piceglau 114 47.705
212J piceglau 115 48.188
212J piceglau 116 48.671
212J piceglau 117 48.841
212J piceglau 118 49.01
212J piceglau 119 49.179
212J piceglau 120 49.349
212J piceglau 121 49.518
212J piceglau 122 49.687
212J piceglau 123 49.857
212J piceglau 124 50.026
212J piceglau 125 50.195
212J piceglau 126 50.365
212J piceglau 127 50.534
212J piceglau 128 50.703
212J piceglau 129 50.873
212J piceglau 130 51.042
212J piceglau 131 51.211
212J piceglau 132 51.381
212J piceglau 133 51.55
212J piceglau 134 51.719
212J piceglau 135 51.889
212J piceglau 136 52.058
212J piceglau 137 52.227
212J piceglau 138 52.397
212J piceglau 139 52.566
212J piceglau 140 52.735
212J piceglau 141 52.905
212J piceglau 142 53.074
212J piceglau 143 53.243
212J piceglau 144 53.413
212J piceglau 145 53.51
212J piceglau 146 53.607
212J piceglau 147 53.704
212J piceglau 148 53.801
212J piceglau 149 53.899
212J piceglau 150 53.996
212J piceglau 151 54.093
212J piceglau 152 54.19
212J piceglau 153 54.287
212J piceglau 154 54.385
212J piceglau 155 54.482
212J piceglau 156 54.579
212J piceglau 157 54.676
212J piceglau 158 54.773
212J piceglau 159 54.87
212J piceglau 160 54.968
212J piceglau 161 55.065
212J piceglau 162 55.162
212J piceglau 163 55.259
212J piceglau 164 55.356
212J piceglau 165 55.454
212J piceglau 166 55.551
212J piceglau 167 55.648
212J piceglau 168 55.745
212J piceglau 169 55.842
212J piceglau 170 55.94
212J piceglau 171 56.037
212J piceglau 172 56.134
212J piceglau 173 56.231
212J piceglau 174 56.328
212J piceglau 175 56.425
212J piceglau 176 56.523
212J piceglau 177 56.62
212J piceglau 178 56.717
212J piceglau 179 56.814
212J piceglau 180 56.911
212J piceglau 181 57.009
212J piceglau 182 57.106
212J piceglau 183 57.203
212J piceglau 184 57.3
212J piceglau 185 57.397
212J piceglau 186 57.495
212J piceglau 187 57.592
212J piceglau 188 57.689
212J piceglau 189 57.786
212J piceglau 190 57.883
212J piceglau 191 57.98
212J piceglau 192 58.078
212J piceglau 193 58.175
212J piceglau 194 58.272
212J piceglau 195 58.369
212J piceglau 196 58.466
212J piceglau 197 58.564
212J piceglau 198 58.661
212J piceglau 199 58.758
212J piceglau 200 58.855
212J piceglau 201 58.952
212J piceglau 202 59.05
212J piceglau 203 59.147
212J piceglau 204 59.244
212J piceglau 205 59.341
212J piceglau 206 59.438
212J piceglau 207 59.535
212J piceglau 208 59.633
212J piceglau 209 59.73
212J piceglau 210 59.827
212J piceglau 211 59.924
212J piceglau 212 60.021
212J piceglau 213 60.119
212J piceglau 214 60.216
212J piceglau 215 60.313
212J piceglau 216 60.41
212J piceglau 217 60.507
212J piceglau 218 60.605
212J piceglau 219 60.702
212J piceglau 220 60.799
212J picemari 1 2.54
212J picemari 1 2.667
212J picemari 2 2.794
212J picemari 3 2.921
212J picemari 4 3.048
212J picemari 5 3.175
212J picemari 6 3.302
212J picemari 7 3.429
212J picemari 8 3.556
212J picemari 9 3.683
212J picemari 10 3.81
212J picemari 11 3.937
212J picemari 12 4.064
212J picemari 13 4.191
212J picemari 14 4.318
212J picemari 15 4.445
212J picemari 16 4.572
212J picemari 17 4.699
212J picemari 18 4.826
212J picemari 19 4.953
212J picemari 20 5.08
212J picemari 21 5.207
212J picemari 22 5.334
212J picemari 23 5.461
212J picemari 24 5.588
212J picemari 25 5.715
212J picemari 26 5.842
212J picemari 27 5.969
212J picemari 28 6.096
212J picemari 29 6.223
212J picemari 30 6.35
212J picemari 31 6.477
212J picemari 32 6.604
212J picemari 33 6.731
212J picemari 34 6.858
212J picemari 35 6.985
212J picemari 36 7.112
212J picemari 37 7.239
212J picemari 38 7.366
212J picemari 39 7.493
212J picemari 40 7.62
212J picemari 41 7.747
212J picemari 42 7.874
212J picemari 43 8.001
212J picemari 44 8.128
212J picemari 45 8.255
212J picemari 46 8.382
212J picemari 47 8.509
212J picemari 48 8.636
212J picemari 49 8.763
212J picemari 50 8.89
212J picemari 51 9.017
212J picemari 52 9.144
212J picemari 53 9.271
212J picemari 54 9.398
212J picemari 55 9.525
212J picemari 56 9.652
212J picemari 57 9.779
212J picemari 58 9.906
212J picemari 59 10.033
212J picemari 60 10.16
212J picemari 61 10.287
212J picemari 62 10.985
212J picemari 63 11.684
212J picemari 64 12.382
212J picemari 65 13.081
212J picemari 66 13.668
212J picemari 67 14.255
212J picemari 68 14.842
212J picemari 69 15.429
212J picemari 70 16.016
212J picemari 71 16.603
212J picemari 72 17.19
212J picemari 73 17.777
212J picemari 74 18.364
212J picemari 75 18.951
212J picemari 76 19.538
212J picemari 77 20.125
212J picemari 78 20.711
212J picemari 79 21.298
212J picemari 80 21.885
212J picemari 81 22.472
212J picemari 82 23.059
212J picemari 83 23.646
212J picemari 84 24.233
212J picemari 85 24.82
212J picemari 86 25.407
212J picemari 87 25.994
212J picemari 88 26.581
212J picemari 89 27.168
212J picemari 90 27.755
212J picemari 91 28.342
212J picemari 92 28.929
212J picemari 93 29.516
212J picemari 94 30.103
212J picemari 95 30.69
212J picemari 96 31.277
212J picemari 97 31.864
212J picemari 98 32.451
212J picemari 99 33.038
212J picemari 100 33.625
212J picemari 101 34.212
212J picemari 102 34.799
212J picemari 103 35.386
212J picemari 104 35.972
212J picemari 105 36.559
212J picemari 106 37.146
212J picemari 107 37.733
212J picemari 108 38.32
212J picemari 109 38.522
212J picemari 110 38.723
212J picemari 111 38.925
212J picemari 112 39.127
212J picemari 113 39.328
212J picemari 114 39.53
212J picemari 115 39.731
212J picemari 116 39.933
212J picemari 117 40.135
212J picemari 118 40.336
212J picemari 119 40.538
212J picemari 120 40.739
212J picemari 121 40.941
212J picemari 122 41.143
212J picemari 123 41.344
212J picemari 124 41.546
212J picemari 125 41.747
212J picemari 126 41.949
212J picemari 127 42.15
212J picemari 128 42.352
212J picemari 129 42.554
212J picemari 130 42.755
212J picemari 131 42.957
212J picemari 132 43.158
212J picemari 133 43.36
212J picemari 134 43.562
212J picemari 135 43.763
212J picemari 136 43.965
212J picemari 137 44.166
212J picemari 138 44.368
212J picemari 139 44.57
212J picemari 140 44.771
212J picemari 141 44.973
212J picemari 142 45.174
212J picemari 143 45.376
212J picemari 144 45.577
212J picemari 145 45.779
212J picemari 146 45.981
212J picemari 147 46.182
212J picemari 148 46.384
212J picemari 149 46.585
212J picemari 150 46.787
212J picemari 151 46.989
212J picemari 152 47.19
212J thujocci 1 2.54
212J thujocci 1 2.709
212J thujocci 2 2.879
212J thujocci 3 3.048
212J thujocci 4 3.217
212J thujocci 5 3.387
212J thujocci 6 3.556
212J thujocci 7 3.725
212J thujocci 8 3.895
212J thujocci 9 4.064
212J thujocci 10 4.233
212J thujocci 11 4.403
212J thujocci 12 4.572
212J thujocci 13 4.741
212J thujocci 14 4.911
212J thujocci 15 5.08
212J thujocci 16 5.249
212J thujocci 17 6.773
212J thujocci 18 8.297
212J thujocci 19 9.313
212J thujocci 20 10.329
212J thujocci 21 10.837
212J thujocci 22 11.345
212J thujocci 23 11.853
212J thujocci 24 12.361
212J thujocci 25 12.869
212J thujocci 26 13.385
212J thujocci 27 13.9
212J thujocci 28 14.416
212J thujocci 29 14.931
212J thujocci 30 15.447
212J thujocci 31 15.962
212J thujocci 32 16.477
212J thujocci 33 16.993
212J thujocci 34 17.508
212J thujocci 35 18.024
212J thujocci 36 18.189
212J thujocci 37 18.355
212J thujocci 38 18.521
212J thujocci 39 18.686
212J thujocci 40 18.852
212J thujocci 41 19.017
212J thujocci 42 19.183
212J thujocci 43 19.349
212J thujocci 44 19.514
212J thujocci 45 19.68
212J thujocci 46 19.846
212J thujocci 47 20.011
212J thujocci 48 20.177
212J thujocci 49 20.342
212J thujocci 50 20.508
212J thujocci 51 20.674
212J thujocci 52 20.839
212J thujocci 53 21.005
212J thujocci 54 21.171
212J thujocci 55 21.336
212J thujocci 56 21.502
212J thujocci 57 21.667
212J thujocci 58 21.833
212J thujocci 59 21.999
212J thujocci 60 22.164
212J thujocci 61 22.33
212J thujocci 62 22.496
212J thujocci 63 22.661
212J thujocci 64 22.827
212J thujocci 65 22.992
212J thujocci 66 23.106
212J thujocci 67 23.219
212J thujocci 68 23.332
212J thujocci 69 23.445
212J thujocci 70 23.558
212J thujocci 71 23.671
212J thujocci 72 23.784
212J thujocci 73 23.897
212J thujocci 74 24.01
212J thujocci 75 24.124
212J thujocci 76 24.237
212J thujocci 77 24.35
212J thujocci 78 24.463
212J thujocci 79 24.576
212J thujocci 80 24.689
212J thujocci 81 24.802
212J thujocci 82 24.915
212J thujocci 83 25.028
212J thujocci 84 25.141
212J thujocci 85 25.255
212J thujocci 86 25.368
212J thujocci 87 25.481
212J thujocci 88 25.594
212J thujocci 89 25.707
212J thujocci 90 25.82
212J thujocci 91 25.933
212J thujocci 92 26.046
212J thujocci 93 26.159
212J thujocci 94 26.272
212J thujocci 95 26.386
212J thujocci 96 26.499
212J thujocci 97 26.612
212J thujocci 98 26.725
212J thujocci 99 26.838
212J thujocci 100 26.951
212J thujocci 101 27.064
212J thujocci 102 27.177
212J thujocci 103 27.29
212J thujocci 104 27.404
212J thujocci 105 27.517
212J thujocci 106 27.63
212J thujocci 107 27.743
212J thujocci 108 27.856
212J thujocci 109 27.969
212J thujocci 110 28.073
212J thujocci 111 28.176
212J thujocci 112 28.28
212J thujocci 113 28.384
212J thujocci 114 28.488
212J thujocci 115 28.591
212J thujocci 116 28.695
212J thujocci 117 28.799
212J thujocci 118 28.902
212J thujocci 119 29.006
212J thujocci 120 29.11
212J thujocci 121 29.213
212J thujocci 122 29.317
212J thujocci 123 29.421
212J thujocci 124 29.524
212J thujocci 125 29.628
212J thujocci 126 29.732
212J thujocci 127 29.836
212J thujocci 128 29.939
212J thujocci 129 30.043
212J thujocci 130 30.147
212J thujocci 131 30.25
212J thujocci 132 30.354
212J thujocci 133 30.458
212J thujocci 134 30.561
212J thujocci 135 30.665
212J thujocci 136 30.769
212J thujocci 137 30.873
212J thujocci 138 30.976
212J thujocci 139 31.08
212J thujocci 140 31.184
212J thujocci 141 31.287
212J thujocci 142 31.391
212J thujocci 143 31.495
212J thujocci 144 31.598
212J thujocci 145 31.702
212J thujocci 146 31.806
212J thujocci 147 31.91
212J thujocci 148 32.013
212J thujocci 149 32.117
212J thujocci 150 32.221
212J thujocci 151 32.324
212J thujocci 152 32.428
212J thujocci 153 32.532
212J thujocci 154 32.635
212J thujocci 155 32.739
212J thujocci 156 32.843
212J thujocci 157 32.947
212J thujocci 158 33.05
212J thujocci 159 33.085
212J thujocci 160 33.119
212J thujocci 161 33.153
212J thujocci 162 33.187
212J thujocci 163 33.222
212J thujocci 164 33.256
212J thujocci 165 33.29
212J thujocci 166 33.325
212J thujocci 167 33.359
212J thujocci 168 33.393
212J thujocci 169 33.428
212J thujocci 170 33.462
212J thujocci 171 33.496
212J thujocci 172 33.53
212J thujocci 173 33.565
212J thujocci 174 33.599
212J thujocci 175 33.633
212J thujocci 176 33.668
212J thujocci 177 33.702
212J thujocci 178 33.736
212J thujocci 179 33.77
212J thujocci 180 33.805
212J thujocci 181 33.839
212J thujocci 182 33.873
212J thujocci 183 33.908
212J thujocci 184 33.942
212J thujocci 185 33.976
212J thujocci 186 34.011
212J thujocci 187 34.045
212J thujocci 188 34.079
212J thujocci 189 34.113
212J thujocci 190 34.148
212J thujocci 191 34.182
212J thujocci 192 34.216
212J thujocci 193 34.251
212J thujocci 194 34.285
212J thujocci 195 34.319
212J thujocci 196 34.354
212J thujocci 197 34.388
212J thujocci 198 34.422
212J thujocci 199 34.456
212J thujocci 200 34.491
212J thujocci 201 34.525
212J thujocci 202 34.559
212J thujocci 203 34.594
212J thujocci 204 34.628
212J thujocci 205 34.662
212J thujocci 206 34.697
212J thujocci 207 34.731
212J thujocci 208 34.765
212J thujocci 209 34.799
212J thujocci 210 34.834
212J thujocci 211 34.868
212J thujocci 212 34.902
212J thujocci 213 34.937
212J thujocci 214 34.971
212J thujocci 215 35.005
212J thujocci 216 35.04
212J thujocci 217 35.074
212J thujocci 218 35.108
212J thujocci 219 35.142
212J thujocci 220 35.177
212J thujocci 221 35.211
212J thujocci 222 35.245
212J thujocci 223 35.28
212J thujocci 224 35.314
212J thujocci 225 35.348
212J thujocci 226 35.383
212J thujocci 227 35.417
212J thujocci 228 35.451
212J thujocci 229 35.485
212J thujocci 230 35.52
212J thujocci 231 35.554
212J thujocci 232 35.588
212J thujocci 233 35.623
212J thujocci 234 35.657
212J thujocci 235 35.691
212J thujocci 236 35.725
212J thujocci 237 35.76
212J thujocci 238 35.794
212J thujocci 239 35.828
212J thujocci 240 35.863
212J thujocci 241 35.897
212J thujocci 242 35.931
212J thujocci 243 35.966
212J thujocci 244 36
212J thujocci 245 36.034
212J thujocci 246 36.068
212J thujocci 247 36.103
212J thujocci 248 36.137
212J thujocci 249 36.171
212J thujocci 250 36.206
212J thujocci 251 36.24
212J thujocci 252 36.274
212J thujocci 253 36.309
212J thujocci 254 36.343
212J thujocci 255 36.377
212J thujocci 256 36.411
212J thujocci 257 36.446
212J thujocci 258 36.48
212J thujocci 259 36.514
212J thujocci 260 36.549
212J thujocci 261 36.583
212J thujocci 262 36.617
212J thujocci 263 36.652
212J thujocci 264 36.686
212J thujocci 265 36.72
212J thujocci 266 36.754
212J thujocci 267 36.789
212J thujocci 268 36.823
212J thujocci 269 36.857
212J thujocci 270 36.892
212J thujocci 271 36.926
212J thujocci 272 36.96
212J thujocci 273 36.995
212J thujocci 274 37.029
212J thujocci 275 37.063
212J thujocci 276 37.097
212J thujocci 277 37.132
212J thujocci 278 37.166
212J thujocci 279 37.2
212J thujocci 280 37.235
212J thujocci 281 37.269
212J thujocci 282 37.303
212J thujocci 283 37.338
212J thujocci 284 37.372
212J thujocci 285 37.406
212J thujocci 286 37.44
212J thujocci 287 37.475
212J thujocci 288 37.509
212J thujocci 289 37.543
212J thujocci 290 37.578
212J thujocci 291 37.612
212J thujocci 292 37.646
212J thujocci 293 37.68
212J thujocci 294 37.715
212J thujocci 295 37.749
212J thujocci 296 37.783
212J thujocci 297 37.818
212J thujocci 298 37.852
212J thujocci 299 37.886
212J thujocci 300 37.921
212J thujocci 301 37.955
212J thujocci 302 37.989
212J thujocci 303 38.023
212J thujocci 304 38.058
212J thujocci 305 38.092
212J thujocci 306 38.126
212J thujocci 307 38.321
212J thujocci 308 38.516
212J thujocci 309 38.711
212J thujocci 310 38.906
212J thujocci 311 39.101
212J thujocci 312 39.296
212J thujocci 313 39.491
212J thujocci 314 39.686
212J thujocci 315 39.881
212J thujocci 316 40.076
212J thujocci 317 40.271
212J thujocci 318 40.466
212J thujocci 319 40.661
212J thujocci 320 40.856
212J thujocci 321 41.051
212J thujocci 322 41.246
212J thujocci 323 41.441
212J thujocci 324 41.636
212J thujocci 325 41.831
212J thujocci 326 42.026
212J thujocci 327 42.221
212J thujocci 328 42.416
212J thujocci 329 42.611
212J thujocci 330 42.806
212J thujocci 331 43.001
212J thujocci 332 43.196
212J thujocci 333 43.391
212J thujocci 334 43.586
212J thujocci 335 43.781
212J thujocci 336 43.976
212J thujocci 337 44.17
212J thujocci 338 44.365
212J thujocci 339 44.56
212J thujocci 340 44.755
212J thujocci 341 44.95
212J thujocci 342 45.145
212J thujocci 343 45.34
212J thujocci 344 45.535
212J thujocci 345 45.73
212J thujocci 346 45.925
212J thujocci 347 46.12
212J thujocci 348 46.315
212J thujocci 349 46.51
212J thujocci 350 46.705
212J thujocci 351 46.9
212J thujocci 352 47.095
212J thujocci 353 47.29
212J thujocci 354 47.485
212J thujocci 355 47.68
212J thujocci 356 47.875
212J thujocci 357 48.07
212J thujocci 358 48.265
212J thujocci 359 48.451
212J thujocci 360 48.636
212J thujocci 361 48.822
212J thujocci 362 49.008
212J thujocci 363 49.194
212J thujocci 364 49.38
212J thujocci 365 49.565
212J thujocci 366 49.751
212J thujocci 367 49.937
212J thujocci 368 50.123
212J thujocci 369 50.309
212J thujocci 370 50.494
212J thujocci 371 50.68
212J thujocci 372 50.866
212J thujocci 373 51.052
212J thujocci 374 51.238
212J thujocci 375 51.423
212J thujocci 376 51.609
212J thujocci 377 51.795
212J thujocci 378 51.981
212J thujocci 379 52.167
212J thujocci 380 52.352
212J thujocci 381 52.538
212J thujocci 382 52.724
212J thujocci 383 52.91
212J thujocci 384 53.096
212J thujocci 385 53.281
212J thujocci 386 53.467
212J thujocci 387 53.784
212J thujocci 388 54.1
212J thujocci 389 54.417
212J thujocci 390 54.733
212J thujocci 391 55.05
212J thujocci 392 55.366
212J thujocci 393 55.683
212J thujocci 394 55.999
212J thujocci 395 56.316
212J thujocci 396 56.633
212J thujocci 397 56.949
212J thujocci 398 57.266
212J thujocci 399 57.582
212J thujocci 400 57.899
212J thujocci 401 58.215
212J thujocci 402 58.532
212J thujocci 403 58.848
212J tsugcana 1 2.54
212J tsugcana 1 2.963
212J tsugcana 2 3.387
212J tsugcana 3 3.81
212J tsugcana 4 4.233
212J tsugcana 5 4.657
212J tsugcana 6 5.08
212J tsugcana 7 5.69
212J tsugcana 8 6.299
212J tsugcana 9 6.909
212J tsugcana 10 7.518
212J tsugcana 11 8.128
212J tsugcana 12 9.779
212J tsugcana 13 11.43
212J tsugcana 14 11.684
212J tsugcana 15 11.938
212J tsugcana 16 12.192
212J tsugcana 17 12.446
212J tsugcana 18 12.7
212J tsugcana 19 13.406
212J tsugcana 20 14.113
212J tsugcana 21 14.819
212J tsugcana 22 15.526
212J tsugcana 23 16.232
212J tsugcana 24 16.939
212J tsugcana 25 17.645
212J tsugcana 26 18.352
212J tsugcana 27 18.477
212J tsugcana 28 18.602
212J tsugcana 29 18.726
212J tsugcana 30 18.851
212J tsugcana 31 18.976
212J tsugcana 32 19.101
212J tsugcana 33 19.226
212J tsugcana 34 19.351
212J tsugcana 35 19.476
212J tsugcana 36 19.601
212J tsugcana 37 19.725
212J tsugcana 38 19.85
212J tsugcana 39 19.975
212J tsugcana 40 20.1
212J tsugcana 41 20.225
212J tsugcana 42 20.35
212J tsugcana 43 20.475
212J tsugcana 44 20.6
212J tsugcana 45 20.724
212J tsugcana 46 20.849
212J tsugcana 47 20.974
212J tsugcana 48 21.099
212J tsugcana 49 21.224
212J tsugcana 50 21.349
212J tsugcana 51 21.474
212J tsugcana 52 21.599
212J tsugcana 53 21.723
212J tsugcana 54 21.848
212J tsugcana 55 21.973
212J tsugcana 56 22.098
212J tsugcana 57 22.223
212J tsugcana 58 22.348
212J tsugcana 59 22.473
212J tsugcana 60 22.597
212J tsugcana 61 22.722
212J tsugcana 62 22.847
212J tsugcana 63 22.972
212J tsugcana 64 23.286
212J tsugcana 65 23.599
212J tsugcana 66 23.913
212J tsugcana 67 24.226
212J tsugcana 68 24.54
212J tsugcana 69 24.853
212J tsugcana 70 25.167
212J tsugcana 71 25.48
212J tsugcana 72 25.794
212J tsugcana 73 26.108
212J tsugcana 74 26.421
212J tsugcana 75 26.735
212J tsugcana 76 27.048
212J tsugcana 77 27.362
212J tsugcana 78 27.675
212J tsugcana 79 27.989
212J tsugcana 80 28.247
212J tsugcana 81 28.505
212J tsugcana 82 28.763
212J tsugcana 83 29.021
212J tsugcana 84 29.279
212J tsugcana 85 29.537
212J tsugcana 86 29.795
212J tsugcana 87 30.053
212J tsugcana 88 30.311
212J tsugcana 89 30.569
212J tsugcana 90 30.827
212J tsugcana 91 31.085
212J tsugcana 92 31.343
212J tsugcana 93 31.601
212J tsugcana 94 31.859
212J tsugcana 95 32.117
212J tsugcana 96 32.375
212J tsugcana 97 32.633
212J tsugcana 98 32.891
212J tsugcana 99 33.149
