...1,KEY,STATECD,COUNTYCD,PLOT,t0,t1,t2,t3,N_REM,CONDITION,subplot_list,SUBKEY
104,55_103_20075,55,103,20075,2001,2006,2011,2017,4,F,3214,55_103_20075_2001_3
105,55_103_20077,55,103,20077,2001,2006,2011,2017,4,F,3241,55_103_20077_2001_3
107,55_103_20085,55,103,20085,2000,2005,2010,2016,4,F,4312,55_103_20085_2000_4
108,55_103_20086,55,103,20086,2003,2008,2013,2019,4,M,3214,55_103_20086_2003_3
109,55_103_20090,55,103,20090,2002,2007,2012,2019,4,F,2431,55_103_20090_2002_2
110,55_103_20096,55,103,20096,2001,2006,2011,2017,4,F,3412,55_103_20096_2001_3
111,55_103_20105,55,103,20105,2000,2005,2010,2016,4,F,2413,55_103_20105_2000_2
112,55_103_20108,55,103,20108,2002,2007,2012,2018,4,F,2314,55_103_20108_2002_2
114,55_103_20112,55,103,20112,2002,2007,2012,2018,4,M,2314,55_103_20112_2002_2
116,55_103_20128,55,103,20128,2003,2008,2013,0,3,M,3142,55_103_20128_2003_3
117,55_103_20136,55,103,20136,2004,2009,2014,0,3,F,4321,55_103_20136_2004_4
118,55_103_20143,55,103,20143,2001,2006,2011,2018,4,F,4123,55_103_20143_2001_4
119,55_103_20145,55,103,20145,2000,2005,2010,2016,4,F,1342,55_103_20145_2000_1
120,55_103_20149,55,103,20149,2002,2007,2012,2018,4,F,2314,55_103_20149_2002_2
121,55_103_20150,55,103,20150,2002,2007,2012,2019,4,F,2341,55_103_20150_2002_2
122,55_103_20152,55,103,20152,2000,2005,2010,2016,4,F,2314,55_103_20152_2000_2
125,55_103_20160,55,103,20160,2002,2007,2012,2018,4,F,1432,55_103_20160_2002_1
126,55_103_20167,55,103,20167,2004,2009,2014,0,3,M,4213,55_103_20167_2004_4
127,55_103_20168,55,103,20168,2004,2009,2014,0,3,F,4321,55_103_20168_2004_4
128,55_103_20177,55,103,20177,2000,2005,2010,2016,4,M,4213,55_103_20177_2000_4
129,55_103_20178,55,103,20178,2003,2008,2013,0,3,F,1234,55_103_20178_2003_1
130,55_103_20187,55,103,20187,2002,2007,2012,2019,4,F,4231,55_103_20187_2002_4
131,55_103_20192,55,103,20192,2004,2009,2014,0,3,F,4213,55_103_20192_2004_4
132,55_103_20209,55,103,20209,2002,2007,2012,2018,4,M,3142,55_103_20209_2002_3
133,55_103_20213,55,103,20213,2001,2006,2011,2016,4,M,4312,55_103_20213_2001_4
134,55_103_20219,55,103,20219,2004,2009,2014,0,3,F,1243,55_103_20219_2004_1
136,55_103_20222,55,103,20222,2004,2009,2014,0,3,F,3214,55_103_20222_2004_3
137,55_103_20223,55,103,20223,2000,2005,2010,2015,4,F,1342,55_103_20223_2000_1
138,55_103_20224,55,103,20224,2004,2009,2014,0,3,F,4321,55_103_20224_2004_4
141,55_103_20231,55,103,20231,2000,2005,2010,2015,4,M,1432,55_103_20231_2000_1
142,55_103_20235,55,103,20235,2000,2005,2010,2015,4,F,2431,55_103_20235_2000_2
145,55_103_20241,55,103,20241,2001,2006,2011,2017,4,M,4321,55_103_20241_2001_4
146,55_103_20251,55,103,20251,2002,2007,2012,2018,4,M,2314,55_103_20251_2002_2
147,55_103_20254,55,103,20254,2002,2007,2012,2019,4,M,1342,55_103_20254_2002_1
148,55_103_20256,55,103,20256,2002,2007,2012,2018,4,F,1243,55_103_20256_2002_1
149,55_103_20262,55,103,20262,2003,2008,2013,0,3,F,2413,55_103_20262_2003_2
150,55_103_20263,55,103,20263,2003,2008,2013,0,3,F,4312,55_103_20263_2003_4
151,55_103_20265,55,103,20265,2003,2008,2013,2019,4,F,4123,55_103_20265_2003_4
152,55_103_20268,55,103,20268,2003,2008,2013,0,3,F,2431,55_103_20268_2003_2
155,55_105_20003,55,105,20003,2000,2005,2010,2016,4,M,3124,55_105_20003_2000_3
156,55_105_20006,55,105,20006,2001,2006,2011,2017,4,F,4132,55_105_20006_2001_4
158,55_105_20025,55,105,20025,2004,2009,2015,0,3,F,1342,55_105_20025_2004_1
159,55_105_20058,55,105,20058,2002,2007,2012,2019,4,F,2314,55_105_20058_2002_2
160,55_105_20083,55,105,20083,2002,2007,2012,2018,4,M,3421,55_105_20083_2002_3
161,55_105_20088,55,105,20088,2002,2007,2012,2019,4,M,4123,55_105_20088_2002_4
162,55_105_20101,55,105,20101,2000,2005,2010,2016,4,F,2134,55_105_20101_2000_2
163,55_105_20106,55,105,20106,2001,2006,2011,2017,4,F,3241,55_105_20106_2001_3
164,55_105_20144,55,105,20144,2004,2009,2014,0,3,F,3124,55_105_20144_2004_3
167,55_105_20198,55,105,20198,2000,2005,2010,2016,4,M,1432,55_105_20198_2000_1
168,55_105_20221,55,105,20221,2001,2006,2011,2017,4,M,1324,55_105_20221_2001_1
170,55_105_20236,55,105,20236,2004,2009,2014,0,3,M,1432,55_105_20236_2004_1
171,55_105_20266,55,105,20266,2004,2009,2014,0,3,F,4321,55_105_20266_2004_4
172,55_105_20268,55,105,20268,2001,2006,2011,2017,4,M,3142,55_105_20268_2001_3
173,55_105_20272,55,105,20272,2003,2008,2013,0,3,M,3124,55_105_20272_2003_3
174,55_105_20281,55,105,20281,2000,2005,2010,2016,4,F,2341,55_105_20281_2000_2
175,55_105_20285,55,105,20285,2000,2005,2010,2015,4,F,1423,55_105_20285_2000_1
176,55_105_20296,55,105,20296,2001,2006,2011,2017,4,F,2134,55_105_20296_2001_2
178,55_105_20312,55,105,20312,2001,2006,2011,2016,4,M,1423,55_105_20312_2001_1
180,55_105_20328,55,105,20328,2003,2008,2013,0,3,M,2413,55_105_20328_2003_2
184,55_105_20355,55,105,20355,2004,2009,2015,0,3,F,1324,55_105_20355_2004_1
185,55_107_10485,55,107,10485,2004,2009,2015,0,3,F,4312,55_107_10485_2004_4
186,55_107_20001,55,107,20001,2002,2007,2012,2018,4,F,2341,55_107_20001_2002_2
187,55_107_20012,55,107,20012,2002,2007,2012,2019,4,M,4231,55_107_20012_2002_4
188,55_107_20020,55,107,20020,2002,2007,2012,2019,4,F,3214,55_107_20020_2002_3
189,55_107_20038,55,107,20038,2000,2005,2010,2015,4,F,3142,55_107_20038_2000_3
190,55_107_20039,55,107,20039,2001,2006,2011,2018,4,F,1432,55_107_20039_2001_1
192,55_107_20043,55,107,20043,2001,2006,2011,2017,4,F,2134,55_107_20043_2001_2
193,55_107_20052,55,107,20052,2000,2005,2010,2015,4,F,3412,55_107_20052_2000_3
194,55_107_20055,55,107,20055,2000,2005,2010,2016,4,F,1234,55_107_20055_2000_1
195,55_107_20060,55,107,20060,2001,2006,2011,2017,4,M,3412,55_107_20060_2001_3
196,55_107_20062,55,107,20062,2004,2009,2015,0,3,F,2314,55_107_20062_2004_2
197,55_107_20068,55,107,20068,2000,2005,2010,2015,4,F,2413,55_107_20068_2000_2
198,55_107_20073,55,107,20073,2004,2009,2014,0,3,F,4213,55_107_20073_2004_4
199,55_107_20074,55,107,20074,2003,2008,2013,0,3,F,3214,55_107_20074_2003_3
201,55_107_20081,55,107,20081,2002,2007,2012,2018,4,F,3124,55_107_20081_2002_3
202,55_107_20083,55,107,20083,2002,2007,2012,2019,4,M,2314,55_107_20083_2002_2
203,55_107_20089,55,107,20089,2003,2008,2013,0,3,M,1324,55_107_20089_2003_1
204,55_107_20090,55,107,20090,2003,2008,2013,2019,4,F,2413,55_107_20090_2003_2
205,55_107_20091,55,107,20091,2001,2006,2011,2017,4,M,4123,55_107_20091_2001_4
206,55_107_20098,55,107,20098,2003,2008,2013,0,3,M,4312,55_107_20098_2003_4
207,55_107_20101,55,107,20101,2004,2009,2014,0,3,F,1423,55_107_20101_2004_1
208,55_107_20103,55,107,20103,2001,2006,2011,2017,4,M,1432,55_107_20103_2001_1
209,55_107_20107,55,107,20107,2001,2006,2011,2017,4,F,4213,55_107_20107_2001_4
210,55_107_20116,55,107,20116,2003,2008,2013,2019,4,F,3214,55_107_20116_2003_3
211,55_107_20126,55,107,20126,2004,2009,2015,0,3,F,3214,55_107_20126_2004_3
212,55_107_20133,55,107,20133,2001,2006,2011,2016,4,F,1243,55_107_20133_2001_1
213,55_107_20135,55,107,20135,2003,2008,2013,0,3,F,1342,55_107_20135_2003_1
214,55_107_20136,55,107,20136,2002,2007,2012,2018,4,M,2413,55_107_20136_2002_2
215,55_107_20138,55,107,20138,2002,2007,2012,2018,4,F,1234,55_107_20138_2002_1
216,55_107_20139,55,107,20139,2003,2008,2013,2019,4,M,4321,55_107_20139_2003_4
217,55_107_20149,55,107,20149,2004,2009,2014,0,3,M,3421,55_107_20149_2004_3
218,55_107_20155,55,107,20155,2002,2007,2012,2018,4,F,1243,55_107_20155_2002_1
219,55_107_20164,55,107,20164,2001,2006,2011,2017,4,F,3421,55_107_20164_2001_3
220,55_107_20166,55,107,20166,2004,2009,2014,0,3,F,4231,55_107_20166_2004_4
221,55_107_20168,55,107,20168,2003,2008,2013,0,3,M,1342,55_107_20168_2003_1
222,55_107_20172,55,107,20172,2000,2005,2010,2016,4,F,2143,55_107_20172_2000_2
223,55_107_20180,55,107,20180,2004,2009,2014,0,3,F,1243,55_107_20180_2004_1
224,55_107_20184,55,107,20184,2003,2008,2013,0,3,F,2143,55_107_20184_2003_2
225,55_107_20188,55,107,20188,2004,2009,2014,0,3,F,1432,55_107_20188_2004_1
226,55_107_20192,55,107,20192,2002,2007,2012,2018,4,F,1243,55_107_20192_2002_1
227,55_107_20195,55,107,20195,2000,2005,2010,2015,4,M,4132,55_107_20195_2000_4
228,55_107_20203,55,107,20203,2004,2009,2014,0,3,F,1423,55_107_20203_2004_1
229,55_107_20210,55,107,20210,2000,2005,2010,2015,4,F,1324,55_107_20210_2000_1
230,55_107_20214,55,107,20214,2002,2007,2012,2018,4,F,3142,55_107_20214_2002_3
231,55_107_20217,55,107,20217,2000,2005,2010,2015,4,M,4312,55_107_20217_2000_4
232,55_107_20224,55,107,20224,2001,2006,2011,2016,4,F,1243,55_107_20224_2001_1
233,55_107_20225,55,107,20225,2003,2008,2013,2019,4,F,1432,55_107_20225_2003_1
234,55_107_20226,55,107,20226,2001,2006,2011,2017,4,F,4213,55_107_20226_2001_4
235,55_107_20227,55,107,20227,2003,2008,2013,2019,4,F,3124,55_107_20227_2003_3
236,55_107_20230,55,107,20230,2003,2008,2013,0,3,F,2134,55_107_20230_2003_2
237,55_107_20231,55,107,20231,2003,2008,2013,0,3,F,4312,55_107_20231_2003_4
238,55_107_20233,55,107,20233,2004,2009,2015,0,3,F,4123,55_107_20233_2004_4
241,55_107_20248,55,107,20248,2004,2009,2014,0,3,F,4213,55_107_20248_2004_4
242,55_107_20251,55,107,20251,2004,2009,2014,0,3,F,1342,55_107_20251_2004_1
243,55_107_20254,55,107,20254,2002,2007,2012,2019,4,F,1432,55_107_20254_2002_1
244,55_107_20265,55,107,20265,2003,2008,2013,0,3,F,3241,55_107_20265_2003_3
245,55_107_20268,55,107,20268,2002,2007,2012,2018,4,F,1234,55_107_20268_2002_1
246,55_107_20275,55,107,20275,2001,2006,2011,2018,4,M,4132,55_107_20275_2001_4
247,55_107_20281,55,107,20281,2000,2005,2010,2015,4,F,1423,55_107_20281_2000_1
248,55_107_20284,55,107,20284,2003,2008,2013,0,3,F,1234,55_107_20284_2003_1
251,55_107_20291,55,107,20291,2001,2006,2011,2017,4,F,2314,55_107_20291_2001_2
252,55_107_20293,55,107,20293,2001,2006,2011,2018,4,F,1324,55_107_20293_2001_1
253,55_107_20302,55,107,20302,2000,2005,2010,2015,4,F,4213,55_107_20302_2000_4
254,55_107_20313,55,107,20313,2002,2007,2012,2018,4,F,3241,55_107_20313_2002_3
255,55_107_20323,55,107,20323,2003,2008,2013,0,3,F,3241,55_107_20323_2003_3
257,55_107_20327,55,107,20327,2000,2005,2010,2015,4,F,4231,55_107_20327_2000_4
258,55_107_20342,55,107,20342,2002,2007,2012,2019,4,F,1243,55_107_20342_2002_1
259,55_107_20343,55,107,20343,2002,2007,2012,2018,4,F,4312,55_107_20343_2002_4
260,55_107_20345,55,107,20345,2003,2008,2013,0,3,F,4231,55_107_20345_2003_4
261,55_107_20352,55,107,20352,2003,2008,2013,0,3,F,1234,55_107_20352_2003_1
262,55_107_20355,55,107,20355,2003,2008,2013,2019,4,F,3241,55_107_20355_2003_3
263,55_107_20357,55,107,20357,2001,2006,2011,2017,4,F,1342,55_107_20357_2001_1
264,55_107_20358,55,107,20358,2000,2005,2010,2016,4,F,4312,55_107_20358_2000_4
265,55_107_20359,55,107,20359,2001,2006,2011,2017,4,F,2143,55_107_20359_2001_2
266,55_107_20360,55,107,20360,2000,2005,2010,2015,4,F,3124,55_107_20360_2000_3
267,55_107_20361,55,107,20361,2002,2007,2012,2018,4,F,4321,55_107_20361_2002_4
268,55_107_20362,55,107,20362,2000,2005,2010,2016,4,F,1243,55_107_20362_2000_1
269,55_107_20363,55,107,20363,2004,2009,2014,0,3,F,3241,55_107_20363_2004_3
270,55_107_20366,55,107,20366,2003,2008,2013,0,3,M,4213,55_107_20366_2003_4
271,55_107_20367,55,107,20367,2003,2008,2013,0,3,F,1432,55_107_20367_2003_1
272,55_107_20369,55,107,20369,2000,2005,2010,2016,4,F,1423,55_107_20369_2000_1
273,55_107_20370,55,107,20370,2000,2005,2010,0,3,F,4231,55_107_20370_2000_4
274,55_107_20371,55,107,20371,2000,2005,2010,2015,4,F,1234,55_107_20371_2000_1
275,55_107_20373,55,107,20373,2000,2005,2010,2016,4,F,4213,55_107_20373_2000_4
276,55_107_20375,55,107,20375,2000,2005,2010,2015,4,F,1243,55_107_20375_2000_1
277,55_107_20376,55,107,20376,2000,2005,2010,2016,4,M,4231,55_107_20376_2000_4
278,55_107_20377,55,107,20377,2000,2005,2010,2016,4,M,4231,55_107_20377_2000_4
279,55_107_20380,55,107,20380,2000,2005,2010,2016,4,F,2413,55_107_20380_2000_2
280,55_107_20382,55,107,20382,2000,2005,2010,2016,4,F,2431,55_107_20382_2000_2
281,55_107_20383,55,107,20383,2000,2005,2010,2015,4,F,3124,55_107_20383_2000_3
282,55_107_20384,55,107,20384,2000,2005,2010,2015,4,F,2314,55_107_20384_2000_2
283,55_107_20385,55,107,20385,2001,2006,2011,2016,4,F,2341,55_107_20385_2001_2
284,55_107_20386,55,107,20386,2001,2006,2011,2017,4,F,4312,55_107_20386_2001_4
286,55_107_20388,55,107,20388,2001,2006,2011,2016,4,F,2143,55_107_20388_2001_2
287,55_107_20389,55,107,20389,2001,2006,2011,2017,4,F,3421,55_107_20389_2001_3
288,55_107_20391,55,107,20391,2001,2006,2011,2018,4,F,1423,55_107_20391_2001_1
289,55_107_20392,55,107,20392,2001,2006,2011,2017,4,F,1243,55_107_20392_2001_1
290,55_107_20393,55,107,20393,2001,2006,2011,2017,4,F,2413,55_107_20393_2001_2
291,55_107_20394,55,107,20394,2001,2006,2011,2017,4,F,4132,55_107_20394_2001_4
292,55_107_20395,55,107,20395,2001,2006,2011,2017,4,F,4231,55_107_20395_2001_4
295,55_107_20398,55,107,20398,2001,2006,2011,2017,4,M,4132,55_107_20398_2001_4
296,55_107_20416,55,107,20416,2002,2007,2012,2018,4,M,1243,55_107_20416_2002_1
297,55_107_20417,55,107,20417,2002,2007,2012,2019,4,F,2431,55_107_20417_2002_2
298,55_107_20420,55,107,20420,2002,2007,2012,2018,4,F,4321,55_107_20420_2002_4
299,55_107_20421,55,107,20421,2002,2007,2012,2018,4,F,3124,55_107_20421_2002_3
301,55_107_20424,55,107,20424,2002,2007,2012,2018,4,M,2314,55_107_20424_2002_2
302,55_107_20425,55,107,20425,2002,2007,2012,2018,4,F,2134,55_107_20425_2002_2
303,55_107_20428,55,107,20428,2003,2008,2013,2019,4,F,2143,55_107_20428_2003_2
304,55_107_20429,55,107,20429,2003,2008,2013,0,3,F,4231,55_107_20429_2003_4
305,55_107_20430,55,107,20430,2003,2008,2013,0,3,F,3142,55_107_20430_2003_3
306,55_107_20432,55,107,20432,2003,2008,2013,0,3,M,4123,55_107_20432_2003_4
307,55_107_20433,55,107,20433,2003,2008,2013,0,3,F,1342,55_107_20433_2003_1
311,55_107_20437,55,107,20437,2003,2008,2013,0,3,F,1342,55_107_20437_2003_1
312,55_107_20439,55,107,20439,2003,2008,2013,0,3,F,4123,55_107_20439_2003_4
313,55_107_20440,55,107,20440,2003,2008,2013,0,3,F,4213,55_107_20440_2003_4
314,55_107_20457,55,107,20457,2004,2009,2014,0,3,F,3124,55_107_20457_2004_3
316,55_107_20459,55,107,20459,2004,2009,2015,0,3,F,4231,55_107_20459_2004_4
317,55_107_20461,55,107,20461,2004,2009,2014,0,3,F,1243,55_107_20461_2004_1
320,55_107_20465,55,107,20465,2004,2009,2015,0,3,F,1324,55_107_20465_2004_1
321,55_107_20466,55,107,20466,2004,2009,2014,0,3,F,2341,55_107_20466_2004_2
322,55_107_20467,55,107,20467,2004,2009,2014,0,3,F,4213,55_107_20467_2004_4
323,55_107_20468,55,107,20468,2004,2009,2014,0,3,F,4321,55_107_20468_2004_4
324,55_107_20469,55,107,20469,2004,2009,2014,0,3,F,1234,55_107_20469_2004_1
326,55_109_20037,55,109,20037,2002,2007,2012,2018,4,F,1423,55_109_20037_2002_1
328,55_109_20065,55,109,20065,2001,2006,2011,2017,4,M,1243,55_109_20065_2001_1
329,55_109_20071,55,109,20071,2002,2007,2012,2018,4,M,4312,55_109_20071_2002_4
333,55_109_20096,55,109,20096,2003,2008,2013,2019,4,F,3412,55_109_20096_2003_3
335,55_109_20111,55,109,20111,2002,2007,2012,2019,4,M,4321,55_109_20111_2002_4
336,55_109_20120,55,109,20120,2003,2008,2013,0,3,F,1423,55_109_20120_2003_1
337,55_109_20128,55,109,20128,2001,2006,2011,2018,4,M,1243,55_109_20128_2001_1
338,55_109_20130,55,109,20130,2002,2007,2012,2018,4,M,2341,55_109_20130_2002_2
339,55_109_20135,55,109,20135,2004,2009,2014,0,3,M,3214,55_109_20135_2004_3
340,55_109_20141,55,109,20141,2002,2007,2012,2019,4,F,2341,55_109_20141_2002_2
341,55_109_20157,55,109,20157,2002,2007,2012,2018,4,F,3421,55_109_20157_2002_3
342,55_109_20159,55,109,20159,2004,2009,2014,0,3,M,2413,55_109_20159_2004_2
343,55_109_20163,55,109,20163,2004,2009,2014,0,3,F,3412,55_109_20163_2004_3
345,55_109_20190,55,109,20190,2003,2008,2013,2019,4,F,1342,55_109_20190_2003_1
347,55_109_20216,55,109,20216,2004,2009,2014,0,3,F,4321,55_109_20216_2004_4
348,55_109_20220,55,109,20220,2000,2005,2010,2015,4,M,1243,55_109_20220_2000_1
349,55_109_20223,55,109,20223,2000,2005,2010,2015,4,M,2413,55_109_20223_2000_2
350,55_109_20245,55,109,20245,2000,2005,2010,2016,4,M,2314,55_109_20245_2000_2
352,55_109_20274,55,109,20274,2003,2008,2013,2019,4,F,1324,55_109_20274_2003_1
353,55_109_20276,55,109,20276,2004,2009,2014,0,3,F,2143,55_109_20276_2004_2
355,55_109_20280,55,109,20280,2000,2005,2010,2016,4,F,3412,55_109_20280_2000_3
356,55_109_20284,55,109,20284,2000,2005,2010,2016,4,M,1423,55_109_20284_2000_1
357,55_109_20289,55,109,20289,2000,2005,2010,2016,4,M,2134,55_109_20289_2000_2
358,55_109_20290,55,109,20290,2001,2006,2011,2017,4,M,4123,55_109_20290_2001_4
363,55_109_20314,55,109,20314,2002,2007,2012,2018,4,M,1324,55_109_20314_2002_1
364,55_109_20316,55,109,20316,2002,2007,2012,2019,4,F,3241,55_109_20316_2002_3
